"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Sep-2025","EQ","386.00","399.85","385.30","385.15","399.45","399.30","395.74","436.00","240.25","2,63,56,961","10,43,05,38,016.55","2,64,036"
"11-Sep-2025","EQ","389.60","392.50","384.05","388.05","386.00","385.15","388.02","436.00","240.25","1,90,42,696","7,38,89,17,108.90","1,46,503"
"10-Sep-2025","EQ","373.70","389.00","373.05","371.95","389.00","388.05","383.58","436.00","240.25","2,31,74,318","8,88,92,53,941.15","2,42,957"
"09-Sep-2025","EQ","371.90","374.00","369.90","371.90","373.00","371.95","371.57","436.00","240.25","1,05,98,912","3,93,82,87,318.45","91,749"
"08-Sep-2025","EQ","371.65","374.50","370.85","370.80","372.20","371.90","372.60","436.00","240.25","68,97,641","2,57,00,61,374.65","90,960"
"05-Sep-2025","EQ","374.00","375.50","368.50","372.50","371.70","370.80","371.32","436.00","240.25","73,25,669","2,72,01,96,084.10","73,291"
"04-Sep-2025","EQ","381.50","381.50","372.00","378.70","372.95","372.50","375.59","436.00","240.25","92,88,078","3,48,84,76,065.10","1,09,905"
"03-Sep-2025","EQ","377.75","381.20","377.10","376.60","378.95","378.70","378.72","436.00","240.25","99,19,255","3,75,66,33,664.00","1,03,493"
"02-Sep-2025","EQ","377.30","378.95","373.75","373.90","377.25","376.60","376.43","436.00","240.25","1,21,69,182","4,58,07,94,888.35","2,22,370"
"01-Sep-2025","EQ","369.95","375.25","367.55","369.40","374.20","373.90","372.60","436.00","240.25","88,21,349","3,28,68,23,676.45","1,29,793"
"29-Aug-2025","EQ","362.30","371.00","361.60","363.85","369.40","369.40","368.45","436.00","240.25","1,27,39,664","4,69,39,27,322.75","1,10,187"
"28-Aug-2025","EQ","364.05","367.75","361.20","365.85","363.30","363.85","364.84","436.00","240.25","1,22,18,065","4,45,76,99,585.90","1,19,662"
"26-Aug-2025","EQ","372.00","372.05","364.25","372.05","367.00","365.85","366.51","436.00","240.25","1,57,18,869","5,76,11,59,527.20","1,70,452"
"25-Aug-2025","EQ","377.85","380.05","371.50","374.85","372.30","372.05","373.40","436.00","240.25","85,77,673","3,20,28,73,017.10","1,05,534"
"22-Aug-2025","EQ","373.80","379.95","373.60","374.20","375.15","374.85","377.30","436.00","240.25","1,52,46,732","5,75,26,64,657.35","1,26,864"
"21-Aug-2025","EQ","373.00","377.40","371.50","371.85","374.25","374.20","375.09","436.00","240.25","1,26,80,853","4,75,64,84,243.65","1,75,521"
"20-Aug-2025","EQ","383.90","384.30","371.10","380.05","371.80","371.85","374.91","436.00","240.25","2,02,89,349","7,60,67,56,575.40","2,07,434"
"19-Aug-2025","EQ","382.50","383.70","377.50","382.50","380.50","380.05","379.29","436.00","240.25","1,11,11,204","4,21,43,34,596.50","1,30,715"
"18-Aug-2025","EQ","388.00","389.75","381.10","384.90","382.70","382.50","384.14","436.00","240.25","1,17,78,056","4,52,43,91,926.00","1,30,700"
"14-Aug-2025","EQ","387.85","388.00","382.55","388.85","384.70","384.90","384.41","436.00","240.25","80,46,552","3,09,31,67,671.65","78,833"
"13-Aug-2025","EQ","382.20","389.90","382.10","380.35","388.85","388.85","386.80","436.00","240.25","1,09,30,440","4,22,78,60,970.15","94,008"
"12-Aug-2025","EQ","384.00","385.35","379.55","383.90","380.25","380.35","381.49","436.00","240.25","93,29,093","3,55,89,99,037.40","1,14,871"
"11-Aug-2025","EQ","384.00","388.40","381.55","384.60","383.70","383.90","384.30","436.00","240.25","89,10,936","3,42,44,29,833.80","1,23,840"
"08-Aug-2025","EQ","385.30","387.40","383.60","387.75","384.40","384.60","385.28","436.00","240.25","71,39,111","2,75,05,32,872.75","93,787"
"07-Aug-2025","EQ","386.00","390.30","383.50","389.70","388.25","387.75","386.77","436.00","240.25","1,15,20,396","4,45,56,93,546.55","1,18,056"
"06-Aug-2025","EQ","392.00","393.50","387.10","386.65","389.30","389.70","389.58","436.00","240.25","1,68,52,693","6,56,55,41,644.40","1,87,628"
"05-Aug-2025","EQ","390.00","390.25","383.35","389.55","386.60","386.65","386.05","436.00","240.25","1,34,82,710","5,20,50,67,053.00","1,32,167"
"04-Aug-2025","EQ","379.00","390.25","376.45","377.20","389.90","389.55","386.88","436.00","240.25","1,34,54,379","5,20,52,56,377.90","1,44,805"
"01-Aug-2025","EQ","383.10","383.50","376.20","383.10","377.25","377.20","379.76","436.00","240.25","87,02,605","3,30,49,33,146.85","1,26,934"
"31-Jul-2025","EQ","379.00","388.25","378.80","386.50","383.00","383.10","384.10","436.00","240.25","97,02,316","3,72,66,29,758.40","1,44,347"
"30-Jul-2025","EQ","390.95","392.40","385.00","388.25","385.85","386.50","387.90","436.00","240.25","1,13,35,944","4,39,72,05,766.90","1,18,424"
"29-Jul-2025","EQ","390.00","390.75","378.00","389.25","389.90","388.25","385.12","436.00","240.25","2,53,07,639","9,74,63,80,764.20","2,71,353"
"28-Jul-2025","EQ","395.20","396.35","383.30","395.20","391.00","389.25","388.95","436.00","240.25","1,98,56,033","7,72,30,29,617.70","2,30,057"
"25-Jul-2025","EQ","399.00","400.70","393.50","398.25","395.60","395.20","395.90","436.00","240.25","92,02,508","3,64,33,16,180.20","1,21,123"
"24-Jul-2025","EQ","400.70","401.90","396.00","400.20","398.25","398.25","397.95","436.00","240.25","67,67,566","2,69,31,76,028.85","1,04,913"
"23-Jul-2025","EQ","403.50","404.90","396.60","403.10","400.60","400.20","399.27","436.00","240.25","1,04,13,255","4,15,77,07,424.85","1,14,821"
"22-Jul-2025","EQ","403.00","404.70","399.75","399.95","403.45","403.10","402.40","436.00","240.25","1,24,47,434","5,00,87,95,689.90","1,31,654"
"21-Jul-2025","EQ","394.60","400.95","391.10","394.75","400.70","399.95","397.43","436.00","240.25","1,29,80,473","5,15,88,74,032.65","1,80,486"
"18-Jul-2025","EQ","404.25","406.95","394.15","404.20","394.60","394.75","397.92","436.00","240.25","2,11,72,393","8,42,49,07,718.60","2,40,000"
"17-Jul-2025","EQ","406.15","408.70","403.05","406.15","404.05","404.20","405.43","436.00","240.25","79,22,270","3,21,19,23,469.55","1,08,150"
"16-Jul-2025","EQ","409.40","410.30","405.50","408.95","405.70","406.15","407.63","436.00","240.25","91,73,824","3,73,95,49,393.95","1,03,540"
"15-Jul-2025","EQ","408.50","412.90","407.80","407.30","409.40","408.95","409.75","436.00","240.25","1,19,71,127","4,90,52,28,271.85","1,68,926"
"14-Jul-2025","EQ","405.50","410.35","405.15","409.30","407.50","407.30","407.44","436.00","240.25","1,78,44,425","7,27,05,35,041.30","1,15,458"
"11-Jul-2025","EQ","411.00","413.20","405.10","413.50","409.00","409.30","409.35","436.00","240.25","1,51,86,245","6,21,64,53,005.50","1,88,411"
"10-Jul-2025","EQ","418.45","419.50","410.50","417.65","413.35","413.50","414.52","436.00","240.25","1,79,14,452","7,42,59,05,507.95","1,86,003"
"09-Jul-2025","EQ","423.95","424.00","416.50","422.00","418.50","417.65","419.42","436.00","240.25","1,49,56,297","6,27,29,23,770.15","1,67,745"
"08-Jul-2025","EQ","418.00","423.35","416.25","417.10","422.40","422.00","421.22","436.00","240.25","1,59,70,711","6,72,71,05,873.95","1,65,889"
"07-Jul-2025","EQ","427.45","427.45","416.15","427.55","417.00","417.10","418.84","436.00","240.25","2,22,21,724","9,30,73,07,544.45","2,20,190"
"04-Jul-2025","EQ","430.00","432.40","425.75","426.25","427.50","427.55","429.07","436.00","240.25","1,66,18,426","7,13,04,37,088.90","1,46,579"
"03-Jul-2025","EQ","427.70","430.70","424.05","426.95","426.50","426.25","427.31","436.00","240.25","1,34,99,244","5,76,83,58,615.85","1,36,515"
"02-Jul-2025","EQ","431.05","432.75","422.60","432.25","427.70","426.95","427.05","436.00","240.25","2,28,43,521","9,75,52,27,245.65","1,73,189"
"01-Jul-2025","EQ","424.80","436.00","424.10","421.50","432.90","432.25","432.12","436.00","240.25","3,54,05,785","15,29,96,93,064.15","2,77,929"
"30-Jun-2025","EQ","416.65","423.00","414.25","414.50","422.80","421.50","419.14","426.50","240.25","2,03,50,621","8,52,97,14,274.60","2,00,199"
"27-Jun-2025","EQ","410.50","416.80","409.50","410.10","416.40","414.50","414.17","426.50","240.25","4,13,98,277","17,14,60,83,666.65","1,76,418"
"26-Jun-2025","EQ","408.95","413.90","406.85","406.05","409.50","410.10","409.94","426.50","240.25","2,57,30,795","10,54,80,36,554.10","2,31,793"
"25-Jun-2025","EQ","420.30","420.40","405.00","418.50","406.30","406.05","410.49","426.50","240.25","2,90,28,317","11,91,58,02,211.60","2,71,254"
"24-Jun-2025","EQ","426.40","426.50","415.00","420.90","419.00","418.50","418.70","426.50","240.25","3,38,07,025","14,15,49,74,438.20","2,81,931"
"23-Jun-2025","EQ","411.00","422.40","409.05","408.25","421.40","420.90","417.43","422.40","240.25","4,30,17,721","17,95,70,40,650.90","3,43,393"
"20-Jun-2025","EQ","399.00","410.00","397.75","398.55","407.05","408.25","407.51","410.00","240.25","12,25,52,435","49,94,13,67,255.35","2,58,048"
"19-Jun-2025","EQ","401.00","403.80","393.45","400.50","397.50","398.55","399.11","407.50","240.25","1,82,20,823","7,27,20,72,740.70","1,75,815"
"18-Jun-2025","EQ","401.65","405.00","398.50","401.75","400.30","400.50","401.53","407.50","240.25","1,88,79,759","7,58,08,04,011.65","1,48,087"
"17-Jun-2025","EQ","405.80","407.50","400.50","403.85","401.65","401.75","403.80","407.50","240.25","2,43,71,681","9,84,12,25,762.25","1,82,268"
"16-Jun-2025","EQ","396.15","404.50","394.20","394.20","404.00","403.85","400.07","404.50","240.25","3,20,61,745","12,82,69,04,443.30","2,37,809"
"13-Jun-2025","EQ","379.65","397.75","379.50","387.40","395.15","394.20","393.17","401.85","240.25","3,55,64,550","13,98,29,59,482.15","2,34,385"
"12-Jun-2025","EQ","392.80","395.75","385.60","392.90","386.50","387.40","390.32","401.85","240.25","1,55,55,771","6,07,17,93,986.00","1,39,672"
"11-Jun-2025","EQ","398.25","398.25","390.60","397.40","392.25","392.90","394.61","401.85","240.25","1,80,42,738","7,11,99,22,517.65","1,39,374"
"10-Jun-2025","EQ","396.50","401.85","394.70","392.45","397.30","397.40","398.23","401.85","240.25","2,64,56,073","10,53,56,39,375.20","1,85,870"
"09-Jun-2025","EQ","394.00","395.30","391.80","390.70","392.15","392.45","393.17","396.85","240.25","1,37,44,521","5,40,39,93,993.15","1,24,733"
"06-Jun-2025","EQ","394.85","396.85","389.20","393.50","390.90","390.70","391.49","396.85","230.00","1,73,66,507","6,79,87,78,816.55","1,23,148"
"05-Jun-2025","EQ","393.70","394.70","389.50","390.60","394.10","393.50","391.88","394.70","230.00","2,07,46,844","8,13,02,66,022.85","1,44,121"
"04-Jun-2025","EQ","387.00","391.30","384.10","386.00","390.95","390.60","387.93","393.50","230.00","2,06,48,850","8,01,02,78,419.10","1,48,244"
"03-Jun-2025","EQ","387.50","391.80","385.50","387.50","385.90","386.00","387.70","393.50","230.00","1,86,30,318","7,22,28,95,017.30","1,29,954"
"02-Jun-2025","EQ","385.00","389.25","383.75","384.60","387.80","387.50","387.09","393.50","230.00","1,19,43,152","4,62,30,19,230.60","1,13,485"
"30-May-2025","EQ","386.80","390.00","383.65","386.80","385.20","384.60","385.88","393.50","230.00","2,31,44,580","8,93,10,65,659.95","1,23,088"
"29-May-2025","EQ","391.55","392.10","385.55","390.45","387.30","386.80","387.49","393.50","230.00","1,85,62,683","7,19,28,01,127.70","1,50,963"
"28-May-2025","EQ","385.45","393.50","384.10","385.40","390.30","390.45","389.84","393.50","230.00","2,75,49,144","10,73,97,34,614.80","1,81,884"
"27-May-2025","EQ","384.50","388.80","383.45","384.55","385.45","385.40","386.36","389.90","230.00","1,68,59,142","6,51,37,21,839.00","1,41,877"
"26-May-2025","EQ","384.90","385.80","378.50","383.80","384.70","384.55","383.24","389.90","230.00","2,67,22,908","10,24,12,76,808.35","2,22,619"
"23-May-2025","EQ","389.15","389.90","381.10","383.40","383.35","383.80","385.36","389.90","230.00","3,76,66,187","14,51,49,65,709.75","3,20,280"
"22-May-2025","EQ","383.00","386.75","379.00","383.00","383.50","383.40","383.03","386.75","230.00","4,34,86,783","16,65,67,83,211.45","3,45,063"
"21-May-2025","EQ","366.90","383.90","364.00","363.80","382.95","383.00","377.06","383.90","230.00","8,86,88,170","33,44,05,78,483.65","7,10,668"
"20-May-2025","EQ","369.40","371.00","358.50","363.75","364.50","363.80","365.31","373.50","230.00","6,70,88,831","24,50,80,64,596.50","3,92,538"
"19-May-2025","EQ","372.90","373.50","362.55","363.90","363.00","363.75","367.27","373.50","230.00","5,20,03,735","19,09,93,86,167.75","3,99,788"
"16-May-2025","EQ","351.60","371.15","349.60","350.40","363.80","363.90","362.87","371.15","221.00","6,88,55,818","24,98,54,16,033.65","6,73,858"
"15-May-2025","EQ","346.50","351.00","340.80","344.35","350.00","350.40","346.74","351.00","221.00","3,59,59,338","12,46,84,71,429.75","2,59,856"
"14-May-2025","EQ","339.00","346.00","334.50","335.75","344.50","344.35","341.89","346.00","221.00","4,36,84,324","14,93,54,11,262.75","3,12,261"
"13-May-2025","EQ","323.70","337.75","322.80","322.80","335.90","335.75","334.18","340.50","221.00","5,79,85,762","19,37,75,55,971.65","6,28,573"
"12-May-2025","EQ","325.00","325.00","316.20","315.85","322.20","322.80","320.63","340.50","221.00","3,99,27,141","12,80,18,17,273.75","5,02,870"
"09-May-2025","EQ","305.00","321.80","305.00","307.15","316.15","315.85","316.25","340.50","221.00","4,42,44,945","13,99,25,22,066.45","4,43,942"
"08-May-2025","EQ","310.50","313.70","304.80","309.95","304.90","307.15","309.63","340.50","221.00","1,71,10,997","5,29,79,95,118.10","1,16,453"
"07-May-2025","EQ","305.00","315.20","305.00","310.50","310.10","309.95","310.40","340.50","221.00","1,92,74,367","5,98,27,20,437.50","1,26,765"
"06-May-2025","EQ","315.65","319.30","309.20","315.30","309.50","310.50","313.42","340.50","221.00","1,70,29,890","5,33,74,49,948.05","1,23,408"
"05-May-2025","EQ","313.95","316.90","313.20","311.35","315.65","315.30","315.16","340.50","221.00","1,09,55,763","3,45,28,52,218.60","85,400"
"02-May-2025","EQ","310.80","317.75","310.60","314.10","311.00","311.35","313.95","340.50","221.00","1,89,79,609","5,95,85,58,208.15","1,47,507"
"30-Apr-2025","EQ","319.00","320.45","312.60","317.10","312.95","314.10","315.35","340.50","221.00","2,48,63,436","7,84,07,13,500.85","2,08,936"
"29-Apr-2025","EQ","306.55","319.45","305.80","305.05","317.15","317.10","315.97","340.50","221.00","5,78,83,471","18,28,95,31,907.85","3,75,574"
"28-Apr-2025","EQ","296.00","307.85","295.85","297.60","305.30","305.05","305.13","340.50","221.00","2,99,13,417","9,12,73,48,948.05","1,85,562"
"25-Apr-2025","EQ","306.80","307.80","293.70","305.70","297.00","297.60","298.57","340.50","221.00","2,03,07,004","6,06,31,17,613.60","1,45,183"
"24-Apr-2025","EQ","305.00","308.60","303.45","305.85","305.45","305.70","305.61","340.50","221.00","1,72,41,517","5,26,91,13,310.70","1,08,129"
"23-Apr-2025","EQ","305.60","310.30","301.80","303.35","305.60","305.85","306.09","340.50","221.00","2,19,18,666","6,70,91,56,902.35","1,69,771"
"22-Apr-2025","EQ","301.00","304.75","299.75","299.95","303.50","303.35","303.19","340.50","221.00","1,19,62,358","3,62,68,78,810.90","1,03,710"
"21-Apr-2025","EQ","297.50","301.60","295.15","295.15","300.20","299.95","299.62","340.50","221.00","1,40,64,356","4,21,39,16,215.10","1,21,862"
"17-Apr-2025","EQ","293.00","296.60","291.15","293.60","294.55","295.15","294.53","340.50","221.00","1,36,09,937","4,00,85,39,165.10","1,20,621"
"16-Apr-2025","EQ","293.50","295.35","291.30","293.70","294.10","293.60","293.25","340.50","221.00","1,24,79,078","3,65,94,36,169.30","1,15,326"
"15-Apr-2025","EQ","289.90","294.15","287.55","285.00","293.60","293.70","292.21","340.50","221.00","1,95,12,440","5,70,17,92,560.45","1,73,583"
"11-Apr-2025","EQ","283.00","287.00","282.65","280.15","285.30","285.00","285.23","340.50","221.00","1,38,83,110","3,95,99,22,286.15","1,21,027"
"09-Apr-2025","EQ","281.00","282.80","276.60","281.45","281.00","280.15","279.80","340.50","221.00","1,13,89,916","3,18,69,21,679.85","1,02,082"
"08-Apr-2025","EQ","282.45","288.00","276.60","272.10","282.15","281.45","281.62","340.50","221.00","2,67,87,606","7,54,40,49,255.15","2,14,793"
"07-Apr-2025","EQ","257.00","274.50","256.20","280.00","274.00","272.10","268.89","340.50","221.00","2,49,54,083","6,70,97,83,111.10","2,08,401"
"04-Apr-2025","EQ","287.10","288.00","278.30","287.50","280.50","280.00","282.03","340.50","203.75","1,96,99,594","5,55,59,08,347.00","1,60,549"
"03-Apr-2025","EQ","283.00","288.25","282.60","282.40","287.50","287.50","286.00","340.50","203.75","2,09,68,721","5,99,71,06,682.00","1,79,031"
"02-Apr-2025","EQ","289.90","290.75","274.45","292.00","282.45","282.40","279.81","340.50","203.75","5,26,53,587","14,73,27,49,736.95","3,88,113"
"01-Apr-2025","EQ","302.00","305.80","290.00","301.32","290.90","292.00","298.17","340.50","203.75","3,31,71,384","9,89,06,02,879.20","2,66,366"
"28-Mar-2025","EQ","304.00","306.58","299.07","300.65","301.33","301.32","303.02","340.50","195.95","2,08,50,848","6,31,82,05,524.72","1,39,398"
"27-Mar-2025","EQ","297.00","302.00","296.63","299.54","301.80","300.65","300.35","340.50","195.95","1,44,53,677","4,34,11,64,419.93","1,20,151"
"26-Mar-2025","EQ","301.07","305.50","298.49","300.03","299.25","299.54","301.83","340.50","195.95","2,38,69,923","7,20,46,46,106.26","1,62,602"
"25-Mar-2025","EQ","304.00","304.50","298.65","302.10","299.30","300.03","300.90","340.50","195.95","1,93,64,944","5,82,69,22,223.89","1,69,170"
"24-Mar-2025","EQ","296.90","304.90","296.35","295.74","302.95","302.10","302.22","340.50","195.95","2,99,35,092","9,04,69,34,210.70","1,65,187"
"21-Mar-2025","EQ","301.00","301.00","292.75","297.05","296.00","295.74","296.44","340.50","182.50","4,17,51,586","12,37,70,14,011.18","2,20,702"
"20-Mar-2025","EQ","294.81","297.78","291.10","290.00","296.70","297.05","295.04","340.50","182.50","2,78,89,890","8,22,85,24,940.25","1,67,953"
"19-Mar-2025","EQ","286.00","292.99","284.76","285.31","289.98","290.00","289.20","340.50","182.50","2,10,98,065","6,10,16,45,603.61","1,88,934"
"18-Mar-2025","EQ","282.00","286.00","280.31","279.93","285.60","285.31","283.20","340.50","182.50","1,52,90,505","4,33,03,26,861.58","1,12,138"
"17-Mar-2025","EQ","281.00","283.38","276.72","280.07","279.90","279.93","279.54","340.50","182.50","1,38,83,682","3,88,11,05,749.10","1,31,397"
